iter	Passed	Remaining
1645	7274	5148
1646	7277	5143
1647	7280	5137
1648	7283	5132
1649	7286	5126
1650	7289	5121
1651	7292	5116
1652	7295	5110
1653	7298	5105
1654	7301	5099
1655	7304	5094
1656	7307	5089
1657	7310	5083
1658	7312	5077
1659	7314	5071
1660	7317	5066
1661	7320	5060
1662	7322	5054
1663	7324	5048
1664	7326	5042
1665	7328	5036
1666	7330	5030
1667	7332	5024
1668	7334	5018
1669	7337	5013
1670	7339	5007
1671	7341	5001
1672	7343	4995
1673	7346	4989
1674	7348	4983
1675	7350	4977
1676	7352	4971
1677	7355	4966
1678	7358	4960
1679	7360	4955
1680	7362	4949
1681	7364	4943
1682	7366	4937
